ADM0_FR,ADM0_EN,ADM0_PCODE,ADM1_FR,ADM1_PCODE,Fem,Mas,Total,F_00_01,F_01_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60plus,M_00_01,M_01_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60plus,T_00_01,T_01_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60plus
Burkina Faso,Burkina Faso,BF,Boucle du Mouhoun,BF46,1027574,1003021,2030595,40068,143541,156341,131280,102100,86382,69071,65002,53253,45155,33641,29767,22085,49888,40846,149209,167897,147628,123935,88981,60660,45117,37168,33562,26542,22418,16908,42150,80914,292750,324238,278908,226035,175363,129731,110119,90421,78717,60183,52185,38993,92038
Burkina Faso,Burkina Faso,BF,Cascades,BF47,437627,413649,851276,15522,57100,65094,57179,49602,40854,32260,28603,22806,18659,14028,11721,8541,15658,15662,57903,66691,60455,51931,39852,27663,20625,16365,13890,10919,9731,7187,14775,31184,115003,131785,117634,101533,80706,59923,49228,39171,32549,24947,21452,15728,30433
Burkina Faso,Burkina Faso,BF,Centre,BF13,1476075,1490232,2966307,42926,161572,192024,176577,190317,173539,132460,110745,79367,63624,43526,35252,23844,50302,39172,151504,189280,187007,182889,190824,148991,108169,79271,63569,47241,36629,24386,41300,82098,313076,381304,363584,373206,364363,281451,218914,158638,127193,90767,71881,48230,91602
Burkina Faso,Burkina Faso,BF,Centre-Est,BF48,878006,777840,1655846,32130,116187,128730,110150,88423,72738,62065,59732,48457,37915,28919,25548,18864,48148,35672,127443,137544,115264,90531,57139,40994,32220,27811,25364,20265,17852,14484,35257,67802,243630,266274,225414,178954,129877,103059,91952,76268,63279,49184,43400,33348,83405
Burkina Faso,Burkina Faso,BF,Centre-Nord,BF49,919789,816363,1736152,37414,125682,138534,117609,96099,78000,63006,57885,47360,40143,29933,26104,18639,43381,40367,134473,143904,120193,93670,61704,44283,32622,28397,25746,21590,18899,15272,35243,77781,260155,282438,237802,189769,139704,107289,90507,75757,65889,51523,45003,33911,78624
Burkina Faso,Burkina Faso,BF,Centre-Ouest,BF50,910703,779018,1689721,31868,115930,129829,112373,95237,73892,60899,59280,49627,42461,33081,29478,22326,54422,35036,126396,138712,118249,95884,59024,39955,30259,25882,23091,18566,16858,13456,37650,66904,242326,268541,230622,191121,132916,100854,89539,75509,65552,51647,46336,35782,92072
Burkina Faso,Burkina Faso,BF,Centre-Sud,BF51,632740,564467,1197207,22655,81184,89382,76681,62155,48811,41980,41135,36211,30462,23774,21396,16657,40257,24394,87405,95745,82182,68008,43034,29712,22463,19941,18624,15720,13953,12463,30823,47049,168589,185127,158863,130163,91845,71692,63598,56152,49086,39494,35349,29120,71080
Burkina Faso,Burkina Faso,BF,Est,BF52,934392,899774,1834166,38910,138958,150286,124942,96305,82032,68886,59955,47170,34198,24912,20502,14890,32446,41235,146865,158183,134015,99319,72706,55879,41704,35192,29611,22699,18576,13299,30491,80145,285823,308469,258957,195624,154738,124765,101659,82362,63809,47611,39078,28189,62937
Burkina Faso,Burkina Faso,BF,Hauts-Bassins,BF53,1107511,1083318,2190829,35309,133314,157921,143131,131795,112856,86178,75677,58862,48196,34608,29307,20946,39411,36243,136801,163546,153828,136222,114802,80878,61063,47852,40375,30360,25222,18156,37970,71552,270115,321467,296959,268017,227658,167056,136740,106714,88571,64968,54529,39102,77381
Burkina Faso,Burkina Faso,BF,Nord,BF54,895881,781661,1677542,34015,122336,134079,113266,93075,69801,58823,54466,44542,38640,30797,27428,21252,53361,35458,127300,138496,116977,93584,57079,40738,30201,26417,24680,19688,16884,13652,40507,69473,249636,272575,230243,186659,126880,99561,84667,70959,63320,50485,44312,34904,93868
Burkina Faso,Burkina Faso,BF,Plateau Central,BF55,521537,454031,975568,18972,68455,75598,64576,52547,42342,35348,33871,28494,23963,18782,16433,12741,29415,20743,74197,80200,67301,53306,33233,22891,17342,14967,14276,12178,10767,9100,23530,39715,142652,155798,131877,105853,75575,58239,51213,43461,38239,30960,27200,21841,52945
Burkina Faso,Burkina Faso,BF,Sahel,BF56,722947,714901,1437848,27940,100594,110499,93629,77280,61068,52230,44750,36962,29901,22989,20270,14998,29837,29750,106913,117071,100525,78761,60319,46707,34239,28810,26399,21632,18527,14225,31023,57690,207507,227570,194154,156041,121387,98937,78989,65772,56300,44621,38797,29223,60860
Burkina Faso,Burkina Faso,BF,Sud-Ouest,BF57,463291,428238,891529,17427,61601,65783,54651,41066,33604,30358,31708,28069,23869,19678,16815,13086,25576,18314,66125,72859,62667,50198,33332,24035,18285,15740,14422,12629,11056,8924,19652,35741,127726,138642,117318,91264,66936,54393,49993,43809,38291,32307,27871,22010,45228
